QA_id,Human_Cosine_Similarity,Synthetic_Cosine_Similarity,Human_Questions,Human_Answers,Human_Prediction,gpt_41_gs_question,gpt_41_gs_answer,Synthetic_Prediction
17,0.7547681,0.6076786,How do I inform BayBE about the parameters we can tune to optimize our targets?,"This also involves specifying
their values/ranges and other parameter-specific details.

For our example, we assume that we can control three parameters ÃÂÃÂ¢ÃÂÃÂÃÂÃÂ `Granularity`,
`Pressure[bar]`, and `Solvent` ÃÂÃÂ¢ÃÂÃÂÃÂÃÂ as follows:

```python
from baybe.parameters import (
    CategoricalParameter,
    NumericalDiscreteParameter,
    SubstanceParameter,
)

parameters = [
    CategoricalParameter(
        name=""Granularity"",
        values=[""coarse"", ""medium"", ""fine""],
        encoding=""OHE"",  # one-hot encoding of categories
    ),
    NumericalDiscreteParameter(
        name=""Pressure[bar]"",
        values=[1, 5, 10],
        tolerance=0.2,  # allows experimental inaccuracies up to 0.2 when reading values
    ),
    SubstanceParameter(
        name=""Solvent"",
        data={
            ""Solvent A"": ""COC"",
            ""Solvent B"": ""CCC"",  # label-SMILES pairs
            ""Solvent C"": ""O"",
            ""Solvent D"": ""CS(=O)C"",
        },
        encoding=""MORDRED"",  # chemical encoding via scikit-fingerprints
    ),
]
```

For more parameter types and their details, see the
[parameters section](https://emdgroup.github.io/baybe/stable/userguide/parameters.html)
of the user guide.

Additionally, we can define a set of constraints to further specify allowed ranges and
relationships between our parameters. Details can be found in the
[constraints section](https://emdgroup.github.io/baybe/stable/userguide/constraints.html) of the user guide.
In this example, we assume no further constraints.

With the parameter definitions at hand, we can now create our
`SearchSpace` based on the Cartesian product of all possible parameter values:

```python
from baybe.searchspace import SearchSpace

searchspace = SearchSpace.from_product(parameters)
```
","To inform BayBE about the parameters you can tune (i.e., the variables you control in your experiment), you need to define a **search space**. The search space specifies all the tunable parameters, their types (e.g., continuous, categorical, integer), and their allowed ranges or values.

While the provided context does not include the explicit code for defining a search space, in BayBE, this is typically done by creating a **SearchSpace** object and specifying each parameter as a **Parameter** (such as NumericalParameter, CategoricalParameter, etc.), along with their respective properties (like bounds or categories).

**Example (typical usage):**
```python
from baybe.searchspace import SearchSpace
from baybe.parameters import NumericalParameter, CategoricalParameter

searchspace = SearchSpace(
    parameters=[
        NumericalParameter(name=""Pressure"", bounds=(1.0, 10.0), unit=""bar""),
        CategoricalParameter(name=""Solvent"", categories=[""Solvent A"", ""Solvent B"", ""Solvent C"", ""Solvent D""]),
        CategoricalParameter(name=""Granularity"", categories=[""fine"", ""medium"", ""coarse""]),
    ]
)
```

You then pass this `searchspace` object to the `Campaign` together with your objective and recommender:

```python
from baybe import Campaign

campaign = Campaign(searchspace, objective, recommender)
```

**Summary:**  
Define your tunable parameters by creating a `SearchSpace` object with the appropriate parameter definitions. This tells BayBE what variables it can adjust to optimize your targets.","What encoding method is used for the ""Granularity"" parameter in BayBE's search space definition?",One-hot encoding (OHE),"The encoding method used for the ""Granularity"" parameter in BayBE's search space definition is **one-hot encoding (OHE)**."
19,0.6027707,0.6534189,What can we do with a campaign object?,"A campaign objects enables us to start the recommendation cycle.
","With a campaign object in BayBE, you can:

1. **Define and Document Experiments:**  
   - The `Campaign` class provides a structured framework for defining and documenting your experimentation process, including what is being optimized (`Objective`) and which experimental factors can be altered (`SearchSpace`).

2. **Handle Experimental Data:**  
   - Add measurement results from your experiments to the campaign.
   - Track the trajectory of your optimization process.

3. **Get Recommendations:**  
   - Request new candidate points to evaluate using the `recommend()` method.
   - Control candidate selection in discrete spaces (e.g., allow or disallow recommending already measured or pending points).
   - Benefit from caching of recommendations for efficiency.

4. **Compute Acquisition Function Values:**  
   - Use `acquisition_values()` to get individual acquisition values for candidates.
   - Use `joint_acquisition_value()` to get the joint acquisition value for a batch.
   - Optionally specify custom acquisition functions.

5. **Serialization and Persistence:**  
   - Serialize the campaign state to JSON with `to_json()` for long-term storage.
   - Deserialize with `from_json()` to resume experimentation later.
   - Create campaigns from a JSON config with `from_config()`, and validate configs with `validate_config()`.

6. **Iterative Experimentation Workflow:**  
   - Persist the campaign state, run real-world experiments, and continue the optimization process iteratively.

In summary, a campaign object is the central interface for managing, progressing, and persisting your Bayesian optimization workflow in BayBE.",How do you add new experimental measurements to a BayBE campaign?,By using the add_measurements method on the campaign object.,"To add new experimental measurements to a BayBE campaign, you use the `add_measurements` method of the `Campaign` object. This method expects a pandas `DataFrame` containing the values of the experimental parameters and the corresponding target measurements.

**Typical workflow:**

1. **Obtain or create a DataFrame** with columns for all experimental parameters and at least one column for the measured target(s).  
   - If you just received recommendations from `campaign.recommend()`, you can add a new column with your measured results to that DataFrame.
2. **Call** `campaign.add_measurements(df)` to add your new data to the campaign.

**Example:**

```python
# Suppose you have just received recommendations:
df = campaign.recommend(batch_size=3)
print(df)
#    Granularity  Pressure[bar]    Solvent
# 15      medium            1.0  Solvent D
# 10      coarse           10.0  Solvent C
# 29        fine            5.0  Solvent B

# After running the experiments, add your measurements:
df[""Yield""] = [79.8, 54.1, 59.4]
campaign.add_measurements(df)
```

**Notes:**
- You can add measurements at any time, and the data you add does not have to correspond to previous recommendations.
- The DataFrame must include all required parameter columns and the target(s).
- You can add measurements multiple times before requesting new recommendations.

**Summary:**  
Prepare a DataFrame with your experimental parameters and measured targets, then pass it to `campaign.add_measurements()`."
20,0.7912607,0.7678017, Does BayBE have a special way to encode chemical substances?,"BayBE has built-in support for encoding chemical substances using chemical fingerprints, so it understands them beyond just names. You can see it from the study of Shields, B.J. et al.","Yes, BayBE has a special way to encode chemical substances. It provides a built-in parameter type called SubstanceParameter, which allows you to specify chemical substances using their SMILES representations. BayBE then automatically computes molecular descriptors (chemical fingerprints) for each substance using the [scikit-fingerprints](https://scikit-fingerprints.github.io/scikit-fingerprints/) package. These descriptors, such as ECFP, MORDRED, or RDKIT fingerprints, capture chemical similarity and properties much better than standard encodings like one-hot or integer encoding.

This approach enables BayBE to use chemical knowledge in experimental design, making it especially suitable for optimizing experiments involving small molecules (e.g., solvents, ligands, bases). You can also customize the fingerprint computation and reduce descriptor dimensionality using the decorrelate option. For substances not well described by standard chemical descriptors (like polymers or mixtures), BayBE allows you to provide your own descriptors using the CustomDiscreteParameter.",What built-in feature does BayBE provide for encoding chemical substances in experiments?,Chemical encodings for substances are a special built-in case in BayBE.,"BayBE provides a **built-in feature called ""chemical encodings""** for encoding chemical substances in experiments. This is implemented via the `SubstanceParameter` class, which allows you to specify chemical substances using label-SMILES pairs. BayBE then automatically computes molecular descriptors (fingerprints) for each substance using the [scikit-fingerprints](https://scikit-fingerprints.github.io/scikit-fingerprints/) package. Supported encodings include popular fingerprints such as **MORDRED**, **ECFP**, and **RDKIT**.

This approach enables BayBE to use chemical knowledge for better experimental design, going beyond traditional one-hot encoding of categorical parameters. The descriptors are decorrelated to avoid redundancy and improve model performance. This feature is especially useful for experiments involving small molecules, such as solvents, ligands, or reactants in chemical optimization campaigns. 

**Note:** The `SubstanceParameter` and chemical encodings are only available if BayBE is installed with the additional `chem` dependency."
21,0.56598186,0.59844446,I have issues installing BayBE on my Mac. How can I solve them? ,"heÃÂ issues oftencontain a reference to `semaphore`,ÃÂ e.g.`UserWarning:ÃÂ resource_tracker: There appear to be 1 leaked semaphore objects to clean up atshutdown`.WhileÃÂ we do not know the exact source of the problem, it seems to be related toÃÂ linkedlibrariesÃÂ that need to be compiled from source when no`macOS-arm64` binariesÃÂ areavailable. Packages that seem to have regular problems are `pymatgen` or `matminer`.""","If you are experiencing issues installing BayBE on your Mac, especially on macOS-arm64 systems (such as M1/M2 Macs), here are some steps and recommendations based on the BayBE documentation:

### Known Issues on macOS-arm64

- **Leaked Semaphore Warning:**  
  You might encounter warnings like:  
  ```
  UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  ```
  This issue is known to occur on M1/M2 Macs and seems related to certain linked libraries (e.g., `pymatgen`, `matminer`) that may not have pre-built binaries for macOS-arm64 and need to be compiled from source.

### Recommended Solutions

1. **Use a Clean Environment:**  
   Install BayBE into a fresh, clean Python environment (e.g., using `venv` or `conda`) that does not have pre-existing packages installed. This helps avoid conflicts with previously installed dependencies.

2. **Install BayBE First:**  
   If you need other Python packages, install BayBE **before** installing any additional packages. This can help prevent dependency issues.

3. **Installation Commands:**  
   - From PyPI (recommended for most users):  
     ```bash
     pip install baybe
     ```
   - With optional dependencies (e.g., for cheminformatics and simulation features):  
     ```bash
     pip install 'baybe[chem,simulation]'
     ```
   - From GitHub (for the latest development version):  
     ```bash
     pip install git+https://github.com/emdgroup/baybe.git@main
     ```
   - From a local clone (for developers):  
     ```bash
     pip install -e .
     ```

4. **If Problems Persist:**  
   - Try updating `pip`, `setuptools`, and `wheel` to the latest versions before installing:
     ```bash
     pip install --upgrade pip setuptools wheel
     ```
   - If you encounter issues with specific dependencies (like `pymatgen` or `matminer`), check if there are pre-built wheels available or consider using Rosetta 2 to run your environment in x86_64 mode as a workaround.

5. **Further Troubleshooting:**  
   - If you continue to experience issues, consult the BayBE [GitHub issues page](https://github.com/emdgroup/baybe/issues) or documentation for updates and possible workarounds.

**Summary:**","What issue might BayBE users encounter when running on macOS-arm64 systems, especially with M1 chips?","Users may encounter leaked semaphore warnings, such as ""resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown"".","BayBE users running on macOS-arm64 systems, especially with M1 chips, might encounter runtime failures related to leaked semaphore objects. Specifically, they may see warnings such as:

```
UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
```

This issue appears to be connected to linked libraries (like `pymatgen` or `matminer`) that need to be compiled from source when no `macOS-arm64` binaries are available. The exact source of the problem is not fully known. 

**Tip:** To reduce the likelihood of this issue, install BayBE into a clean environment without pre-existing packages, and if you need other packages, install BayBE first."
25,0.54817855,0.13643429,Who can I thank for this awesome package? ,"  - MartinÃÂ FitznerÃÂ (MerckÃÂ KGaA, Darmstadt, Germany), [Contact](mailto:martin.fitzner@merckgroup.com), [Github](https://github.com/Scienfitz)
- Adrian ÃÂÃÂ oÃÂÃÂ¡iÃÂÃÂ (Merck Life ScienceÃÂ KGaA, Darmstadt, Germany), [Contact](mailto:adrian.sosic@merckgroup.com),[Github](https://github.com/AdrianSosic)
- AlexanderÃÂ HoppÃÂ (MerckÃÂ KGaA, Darmstadt, Germany), [Contact](mailto:alexander.hopp@merckgroup.com), [Github](https://github.com/AVHopp)","You can thank the following contributors and maintainers for the BayBE package:

**Contributors:**
- Alex Lee (EMD Electronics, Tempe, Arizona, USA): Work on surrogate models
- Daniel Weber (Merck KGaA, Darmstadt, Germany): Telemetry prototype
- Emeline Sola (during an internship at Merck KGaA, Darmstadt, Germany): Auto-documentation of the examples
- Sourabh Agrawal (Sigma-Aldrich Chemicals Private Limited): Initial implementation of additional surrogate models and clustering methods
- Julie Fang (Merck Life Science KGaA, Darmstadt, Germany): Farthest point sampling
- Roya Javadi (Vector Institute, Toronto, Canada): Import optimization, Polars implementations
- Sterling Baird (Acceleration Consortium, Toronto, Canada): Documentation and general feedback
- Rim Rihana (Merck KGaA, Darmstadt, Germany): Human readable output for search spaces
- Di Jin (Merck Life Science KGaA, Darmstadt, Germany): Cardinality constraints
- Julian Streibel (Merck Life Science KGaA, Darmstadt, Germany): Bernoulli multi-armed bandit and Thompson sampling
- Karin Hrovatin (Merck KGaA, Darmstadt, Germany): scikit-fingerprints support
- Fabian Liebig (Merck KGaA, Darmstadt, Germany): Benchmarking structure and persistence capabilities for benchmarking results
- Alexander Wieczorek (Swiss Federal Institute for Materials Science and Technology, Dübendorf, Switzerland): SHAP explainers for insights

**Maintainers:**
- Martin Fitzner (Merck KGaA, Darmstadt, Germany) – [Contact](mailto:martin.fitzner@merckgroup.com), [Github](https://github.com/Scienfitz)
- Adrian Šošić (Merck Life Science KGaA, Darmstadt, Germany) – [Contact](mailto:adrian.sosic@merckgroup.com), [Github](https://github.com/AdrianSosic)
- Alexander Hopp (Merck KGaA, Darmstadt, Germany) – [Contact](mailto:alexander.hopp@merckgroup.com), [Github](https://github.com/AVHopp)

A big thank you to all these individuals for their contributions to BayBE!",Who are the maintainers of BayBE?,"Martin Fitzner, Adrian Å oÅ¡iÄ, and Alexander Hopp.","Based on the provided context, the maintainers of BayBE are employees of Merck KGaA, Darmstadt, Germany and/or its affiliates. This is indicated by the telemetry section, which specifies that anonymous usage statistics are collected **only** for employees of Merck KGaA, Darmstadt, Germany and/or its affiliates."
26,0.43264076,0.56454325,Who are the contributors of BayBE?,"# Contributors
## Contributors

- Alex Lee (EMD Electronics, Tempe, Arizona, USA):<br />
  \\\\
  Work on surrogate models
- Daniel Weber (Merck KGaA, Darmstadt, Germany):<br />
  \\\\
  Telemetry prototype
- Emeline Sola (during an internship at Merck KGaA, Darmstadt, Germany):<br />
  \\\\
  Auto-documentation of the examples
- Sourabh Agrawal (Sigma-Aldrich Chemicals Private Limited):<br />
  \\\\
  Initial implementation of additional surrogate models and clustering methods
- Julie Fang (Merck Life Science KGaA, Darmstadt, Germany):<br />
  \\\\
  Farthest point sampling
- Roya Javadi (Vector Institute, Toronto, Canada):<br />
  \\\\
  Import optimization, Polars implementations
- Sterling Baird (Acceleration Consortium, Toronto, Canada):<br />
  \\\\
  Documentation and general feedback
- Rim Rihana (Merck KGaA, Darmstadt, Germany):<br />
  \\\\
  Human readable output for search spaces
- Di Jin (Merck Life Science KGaA, Darmstadt, Germany):<br />
  \\\\
  Cardinality constraints
- Julian Streibel (Merck Life Science KGaA, Darmstadt, Germany):<br />
  \\\\
  Bernoulli multi-armed bandit and Thompson sampling
- Karin Hrovatin (Merck KGaA, Darmstadt, Germany):<br />
  \\\\
  `scikit-fingerprints` support
- Fabian Liebig (Merck KGaA, Darmstadt, Germany):<br />
  \\\\
  Benchmarking structure and persistence capabilities for benchmarking results
- Alexander Wieczorek (Swiss Federal Institute for Materials Science and Technology, DÃÂÃÂÃÂÃÂ¼bendorf, Switzerland):<br />
  \\\\
  SHAP explainers for insights","The provided context does not list the individual contributors of BayBE by name. However, it does state that **all contributions to BayBE are welcome**, including bug fixes, new features, and typo corrections. To see the actual list of contributors, you can visit the [BayBE GitHub repository](https://github.com/emdgroup/baybe), where contributors are typically listed in the repository's ""Contributors"" section.",Who contributed the Bernoulli multi-armed bandit and Thompson sampling to BayBE?,Julian Streibel,"Julian Streibel (Merck Life Science KGaA, Darmstadt, Germany) contributed the Bernoulli multi-armed bandit and Thompson sampling to BayBE."
27,0.3943749,0.38029224,What legal rules I must follow when I use or distribute BayBE?,"Copyright 2022-2025 Merck KGaA, Darmstadt, Germany and/or its affiliates. All rights reserved.

Licensed under the Apache License, Version 2.0 (the ""License""); you may not use this file except in compliance with the License. You may obtain a copy of the License at http://www.apache.org/licenses/LICENSE-2.0   Unless required by applicable law or agreed to in writing, software distributed under the License is distributed on an ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the specific language governing permissions and limitations under the License.","The provided context does **not** include any information about the legal rules, license, or terms of use for BayBE. Therefore, based on the given documentation, **no specific legal rules or licensing requirements are mentioned** that you must follow when using or distributing BayBE.

**Recommendation:**  
To ensure you comply with all legal requirements, you should consult the official BayBE repository (such as its [GitHub page](https://github.com/emdgroup/baybe)) and look for a `LICENSE` file or relevant legal documentation. This will provide the definitive legal terms for use and distribution.

**Summary:**  
- The context does not specify legal rules or licensing.
- Check the official BayBE repository for licensing information before use or distribution.",Under which license is BayBE distributed?,"Apache License, Version 2.0","The provided context does not specify the license under which BayBE is distributed. To find the exact license, you should consult the BayBE repository on GitHub or its official documentation."
28,0.58453035,0.7918262,How can I make sure that my model learns as much as possible about a process? ,"Active learning can be seen as a special case of Bayesian optimization: If we have the above-mentioned criterion and set up a Bayesian optimizationcampaign to recommend points with the highest uncertainty, we achieve active learning via Bayesian optimization. In practice, this is procedure isimplemented by setting up a probabilistic model of our measurement process that allows us to quantify uncertainty in the form of a posterior distribution,from which we can then construct an uncertainty-based acquisition function to guide the exploration process.","To ensure your model learns as much as possible about a process in BayBE, you should consider the following best practices, based on the documentation:

### 1. Use Active Learning
- **Active learning** guides the selection of new experiments based on the current model’s uncertainty, rather than random selection.
- By iteratively choosing experiments where the model is most uncertain, you efficiently explore the parameter space and gather the most informative data.
- This is typically implemented via a probabilistic surrogate model (such as a Gaussian Process) and an uncertainty-based acquisition function.

### 2. Leverage Transfer Learning (if you have related data)
- If you have data from similar, but not identical, previous campaigns, **transfer learning** can accelerate learning in your current campaign.
- In BayBE, transfer learning is enabled by using a surrogate model that supports it (e.g., `GaussianProcessSurrogate`) and introducing a [`TaskParameter`] to mark and align different campaign contexts.
- This allows the model to learn relationships between current and past data, utilizing patterns from previous campaigns to inform the new one.

### 3. Properly Set Up TaskParameter for Contexts
- Use the [`TaskParameter`] to encode the context (e.g., reactor, substrate, cell line) of each experiment.
- Specify all possible contexts via the `values` argument, and restrict new recommendations to the current context using `active_values`.
- This ensures the model can learn from all available data while focusing new experiments on the relevant context.

### 4. Ensure Data Quality and Relevance
- Only include data from campaigns that are sufficiently similar (correlated) to your current one. Including uncorrelated or irrelevant data can **decrease** model performance.
- If possible, use a preliminary correlation filter to select suitable past data for transfer learning.

### 5. Use Suitable Surrogate Models
- Choose a surrogate model that is appropriate for your problem and supports the features you need (e.g., transfer learning, multi-output).
- For transfer learning, use models with the `supports_transfer_learning` attribute (e.g., `GaussianProcessSurrogate`).

### 6. Provide Sufficient Data from the Ongoing Campaign
- Transfer learning is not a zero-shot method: the model needs some data from the current campaign to learn how previous data relates to the new context.
- Early data from the ongoing campaign is essential for effective information transfer.

---

**Summary:**  
To maximize learning about your process in BayBE, use active learning to guide experiments,",What is active learning in the context of experiment selection for machine learning data acquisition?,"Active learning is a method where experiments are selected iteratively based on a criterion reflecting the current modelâs uncertainty, guiding data acquisition instead of choosing experiments randomly.","Active learning, in the context of experiment selection for machine learning data acquisition, is a guided approach to choosing which experiments to perform next, rather than selecting them randomly. The key idea is to iteratively select and measure new data points based on a criterion that reflects the current model’s uncertainty. By focusing on points where the model is most uncertain, active learning aims to efficiently improve the model with fewer experiments.

In BayBE, active learning is implemented by setting up a probabilistic model of the measurement process, which quantifies uncertainty in the form of a posterior distribution. An uncertainty-based acquisition function is then constructed from this posterior to guide the exploration and selection of new experiments. This process can be seen as a special case of Bayesian optimization, where the acquisition function is designed to prioritize points with the highest predicted model uncertainty, thereby accelerating the learning process and making data acquisition more efficient."
31,0.65896684,0.5354631,What can I do if some of my experiments are still running but I need new recommendations for additional experiments? ,"1. **Marking experiments as pending**: If an experiment is not completed (meaning at least one target is not yet measured), its data cannot be addedas a regular measurement. However, it can be marked as pending via `pending_experiments` in `recommend`.","If some of your experiments are still running but you need new recommendations for additional experiments, you can use BayBE’s **asynchronous workflow** features to handle this situation effectively. Specifically, you should use the **`pending_experiments`** keyword when requesting new recommendations.

Here’s how you can proceed:

1. **Mark Experiments as Pending:**  
   When you request a new batch of recommendations, pass a DataFrame of the experiments that are still running (i.e., those whose measurements are not yet complete) as the `pending_experiments` argument. This tells BayBE that these experiments are already in progress, so it will avoid recommending them again.

   **Example:**
   ```python
   # Assume rec_pending contains the experiments still running
   rec_next = campaign.recommend(batch_size, pending_experiments=rec_pending)
   ```

2. **Why This Matters:**  
   Without marking pending experiments, BayBE might recommend the same experiments again, since it is unaware that they are already being conducted. By marking them as pending, you ensure that each recommendation is unique and relevant.

3. **Partial Results:**  
   If any of your running experiments have partial results (i.e., some targets measured, others not), you can also add these as *partial measurements* to update the model with available data.

**Summary:**  
When you have ongoing experiments and need new recommendations, use the `pending_experiments` parameter in your `recommend` call to inform BayBE about the experiments that are still running. This will prevent duplicate recommendations and allow you to continue your experimental campaign efficiently.","What does it mean for an experiment to be marked as ""pending"" in BayBE's asynchronous workflows?",It means the experiment's measurement process has started but is not yet completed because at least one of the configured targets has not been measured.,"In BayBE's asynchronous workflows, marking an experiment as ""pending"" means that the experiment's measurement process has been started, but not yet completed at the time when the next set of recommendations is requested. This situation typically arises when at least one of the configured targets for the experiment has not yet been measured.

By marking experiments as pending (using the `pending_experiments` keyword in recommendation requests), you inform BayBE that these experiments are already in progress and should not be recommended again, even though their results are not yet available. This helps prevent the algorithm from suggesting the same experiments multiple times while their outcomes are still being awaited.

In summary, a ""pending"" experiment is one that is underway but not fully measured, and marking it as such ensures BayBE's recommendation engine accounts for these ongoing experiments in its planning."
33,0.8370806,0.6455703,why can't I  add partial result to my experiment model?,"Adding Partial Results only works if the surrogate model uses a separate data basis
for each target. This is e.g. the case if you use the
[`CompositeSurrogate`](baybe.surrogates.composite.CompositeSurrogate)
to enable multi-output modeling required by the 
[`ParetoObjective`](baybe.objectives.pareto.ParetoObjective). For details, see 
[multi-output modeling](multi_output_modeling).

The [`DesirabilityObjective`](baybe.objectives.desirability.DesirabilityObjective) does 
not currently utilize multi-output models and hence does not support partial results.","You cannot add partial results to your experiment model in BayBE if your surrogate model does **not** support using separate data for each target (i.e., does not support multi-output modeling with independent data per target). 

Specifically:

- **Partial results** (where only some targets are measured and others are missing/NaN) can only be used if your surrogate model supports fitting each target independently from the available data. This is the case, for example, when using the [`CompositeSurrogate`](baybe.surrogates.composite.CompositeSurrogate), which is required for multi-output modeling (such as with the [`ParetoObjective`](baybe.objectives.pareto.ParetoObjective)).
- If you are using a surrogate model or objective that does **not** support this (such as the [`DesirabilityObjective`](baybe.objectives.desirability.DesirabilityObjective), which does not utilize multi-output models), then BayBE cannot handle partial results and will throw an error at runtime if you try to add them.
- Internally, BayBE drops incomplete rows (with NaN targets) when fitting a surrogate for each target, but this only works if the surrogate is designed to handle separate data for each target.

**In summary:**  
You cannot add partial results if your surrogate model or objective does not support multi-output modeling with independent data per target. To use partial results, ensure you are using a compatible surrogate (like `CompositeSurrogate`) and objective (like `ParetoObjective`). Otherwise, you must wait until all targets are measured before adding results.",How can you indicate a target measurement that has not been measured yet in BayBE?,"By setting the target measurement value to NaN, pandas.NA, None, or float(""nan"").","In BayBE, you can indicate a target measurement that has not been measured yet by setting its value to a ""missing"" indicator such as:

- numpy.nan
- pandas.NA
- None
- float(""nan"")

When you add measurements to BayBE, simply assign one of these values to the target(s) that have not been measured yet. For example:

```python
import numpy as np
import pandas as pd

measurements.loc[1, ""Target_2""] = np.nan  # not measured yet
measurements.loc[2, ""Target_2""] = pd.NA   # not measured yet
measurements.loc[2, ""Target_3""] = None    # not measured yet
```

BayBE will recognize these as missing values and handle them appropriately when fitting surrogate models (as long as your objective and surrogate support partial results)."
38,0.7943166,0.7164593,Can I create a campaign from a JSON config?,"it is  possible to create a `Campaign` from a JSON configuration string via [`Campaign.from_config`]().
Herein, the expected JSON schema of the string should mirror the class hierarchy of the objects nested in the corresponding campaign object.
The string can be easily validated using [Campaign.validate_config]() without instantiating the object, which skips the potentially costly search space creation step.","Yes, you can create a campaign from a JSON config in BayBE. This is done using the `Campaign.from_config` method, which allows you to instantiate a `Campaign` object from a JSON configuration string. The JSON schema should mirror the class hierarchy of the objects nested in the campaign. You can also validate your JSON config using `Campaign.validate_config` before instantiating the object. This approach is useful for defining campaigns in a structured and reproducible way. For more details and examples, refer to the BayBE documentation.",How can you create a Campaign in BayBE without using the default constructor?,By using Campaign.from_config with a JSON configuration string.,"You can create a Campaign in BayBE without using the default constructor by using the **Campaign.from_config** method. This allows you to create a Campaign from a JSON configuration string that mirrors the class hierarchy of the objects nested in the campaign. Before instantiating the object, you can also validate the JSON string using **Campaign.validate_config**, which skips the potentially costly search space creation step. This approach is useful for configuring campaigns programmatically or loading them from external configuration files."
39,0.61832,0.620495,Can I just run part of the recommend batch without harming my model? ,"This means that for two batches of different requested sizes, the smaller batch will not 
necessarily correspond to a subset of the configurations contained in the larger batch. 
An intuitive explanation for this phenomenon is that the more experiments one can 
afford to run, the less need there is to focus on ""safe bets"" and the more room
becomes available to test ""high-risk/high-gain"" configurations, since only one of the
tested configurations from the batch has to perform well.","No, you should **not** run only part of a recommended batch if you want to maintain optimal model performance in BayBE.

**Why?**  
When you request a batch of recommendations (e.g., `campaign.recommend(batch_size=3)`), BayBE's recommender (specifically, the BotorchRecommender) **jointly optimizes** the entire batch. This means the recommended parameter configurations are selected together to maximize the expected information gain or objective, given that all will be run in parallel. The batch is **not** simply a list of the ""top N"" single best candidates; rather, the recommendations are tailored to the batch size and are designed to be run together.

**If you only run a subset of the batch:**  
- The subset is **not guaranteed** to be the best possible set for a smaller batch size.
- The configurations in a batch of size N are **not** necessarily a subset of those in a batch of size M > N.
- You may lose out on the intended exploration/exploitation trade-off, as the batch may include ""high-risk/high-gain"" candidates that make sense only in the context of the full batch.

**Best practice:**  
> You should always ask for exactly as many recommendations as you are willing to run parallel experiments in your next experimental iteration.

**In summary:**  
**Do not** take a larger batch and only run a subset. If you can only run, say, 2 experiments, request a batch of size 2. This ensures the recommendations are optimal for your available resources and will not harm your model's learning process.",Which recommender in BayBE is currently capable of joint optimization for batch recommendations?,BotorchRecommender,"The **BotorchRecommender** in BayBE is currently capable of joint optimization for batch recommendations. In continuous search spaces, it allows you to choose between greedy sequential optimization and batch (joint) optimization using its `sequential_continuous` flag. This enables the recommender to generate a batch of recommendations jointly, rather than one at a time."
41,0.4955812,0.51647985,Are there any restrictions on the parameter values that I can add via the `add_measurements` method?,"For discrete parameters, the parameter values associated with the provided measurements are required to fall into a predefined tolerance interval by default, which is defined on the level of the individual parameters","Yes, there are restrictions on the parameter values you can add via the `add_measurements` method in BayBE:

1. **Parameter Validity**: The values you add must correspond to the parameters defined in your campaign's search space. Each row in the DataFrame passed to `add_measurements` should provide valid values for all required parameters.

2. **Respect Constraints**: If your campaign defines constraints (either discrete or continuous), the parameter values in your measurements must satisfy these constraints. For example, if you have a constraint that certain parameters must sum to 1.0 or that certain combinations are forbidden, your added measurements must adhere to these rules.

3. **Parameter Types**: The values must match the expected type for each parameter (e.g., categorical, numerical, or substance parameters with valid labels/SMILES strings).

4. **No Hybrid Constraints**: BayBE does not support constraints that operate on a mixed set of discrete and continuous parameters. If your measurements would violate this (e.g., by adding values that only make sense in a hybrid constraint), you need to rephrase your parameterization.

5. **SubstanceParameter Specifics**: If you use `SubstanceParameter`, the values must be among the defined labels in the `data` dictionary, and the SMILES strings must be valid. Also, this parameter type is only available if BayBE was installed with the `chem` dependency.

6. **Decorrelated Descriptors**: For parameters using molecular descriptors (e.g., `SubstanceParameter`), the descriptors are decorrelated before use, so only a subset of the calculated descriptors will be used for modeling.

**Summary:**  
You must ensure that all parameter values in the DataFrame passed to `add_measurements` are valid according to your campaign's parameter definitions and constraints. Invalid or out-of-domain values may result in errors or be ignored by BayBE.",What method is used to add experimental data during a BayBE campaign?,add_measurements,"The method used to add experimental data during a BayBE campaign is:

**add_measurements**

You use the Campaign object's add_measurements method to feed your measured results (experimental data) back into the campaign. For example:

```python
campaign.add_measurements(df)
```

Here, df is a DataFrame containing the experimental settings and the corresponding measured outcomes. This method updates the campaign's database with your new data."
