QA_id,chunk_id,chunk_name,Powerpoint,content,Human_Questions,Human_Answers,synthetic_question,synthetic_answer
32,32,userguide_async_chunks_chunk_1,1,"# Asynchronous Workflows

Asynchronous workflows describe situations where the loop between measurement and
recommendation is more complex and needs to incorporate various other aspects. These
could for instance be:

- **Distributed workflows**: When recommendations are distributed across several
  operators, e.g. at different locations or in several reactors, some experiments might
  have been started, but are not ready when the next batch of recommendations is requested.
  Without further consideration, the algorithm would be likely to recommend the pending
  experiments again (since they were and still are considered most promising), as it is
  unaware they were already started.
- **Partial targets**: When dealing with multiple targets that require very different
  amounts of time to measure, the targets of previously recommended points might only be
  partially available when requesting the next batch of recommendations. Still, these
  partial experiments should ideally be considered when generating the recommendations.

With *pending experiments* we mean experiments whose measurement process has
been started, but not yet completed by time of triggering the next set of
recommendations â this is typically the case when at least one of the configured
targets has not yet been measured.

There are two levels of dealing with such situations:

1. **Marking experiments as pending**: If an experiment is not completed (meaning at least one target is not yet measured), its
   data cannot be added as a regular measurement. However, it can be marked as pending via
   `pending_experiments` in `recommend`.
2. **Adding partial results**: If an experiment is partially completed (meaning at least one target has been
   measured), we can already update the model with the available information
   by adding a *partial* measurement.
",What can I do if some of my�experiments are still running but I need new reccomendations for additional experiments?�,"1. **Marking experiments as pending**: If an experiment is not completed (meaning at least one target is not yet measured), its data cannot be addedas a regular measurement. However, it can be marked as pending via `pending_experiments` in `recommend`.",What are pending experiments in asynchronous workflows?,Pending experiments are experiments whose measurement process has been started but not yet completed by the time the next set of recommendations is triggered.
33,33,userguide_async_chunks_chunk_2,2,"# Asynchronous Workflows
## Marking Experiments as Pending

To avoid repeated recommendations in the above scenario, BayBE provides the
`pending_experiments` keyword. It is available wherever recommendations can be
requested, i.e. [`Campaign.recommend`]() or
[`RecommenderProtocol.recommend`]().

Akin to `measurements` or `recommendations`, `pending_experiments` is a dataframe in
[experimental representation](searchspace.md#data-representation).
In the following example, we get a set of recommendations, add results for half of them,
and start the next recommendation, marking the other half pending:

```python
from baybe.utils.dataframe import add_fake_measurements

# Get a set of 10 recommendation
rec = campaign.recommend(batch_size=10)

# Split recommendations into two parts
rec_finished = rec.iloc[:5]
rec_pending = rec.iloc[5:]

# Add target measurements to the finished part. Here we add fake results
add_fake_measurements(rec_finished, campaign.targets)
campaign.add_measurements(rec_finished)

# Get the next set of recommendations, incorporating the still unfinished experiments.
# These will not include the experiments marked as pending again.
rec_next = campaign.recommend(10, pending_experiments=rec_pending)
```","What are ""pending_experiments"" good for?",,What keyword does BayBE provide to mark experiments as pending?,`pending_experiments`
34,34,userguide_async_chunks_chunk_3,Tia,"# Asynchronous Workflows
## Adding Partial Results

A *partial result* is possible if you have multiple targets, but only measured the
outcome for some of those. This is a common occurrence, especially if the different
target measurements correspond to experiments that differ in complexity or duration.

As a simple example, consider a campaign with medical background aimed at creating a
drug formulation. Typically, there are quick initial analytics performed on the
formulation, followed by *in vitro* experiments followed by mouse *in vivo* experiments.
Without the ability to use partial measurements, you would have to wait until the slow
mouse experiment for a given recommendation is measured until you could utilize any of
the other (faster) experimental outcomes for that recommendation. Furthermore, if the fast
measurements are already unpromising, the slower target measurements are possibly never
performed at all.

In BayBE, you can leverage results even if they are only partial. This is indicated
by setting the corresponding target measurement value to NaN. There are several ways to indicate this, e.g.:

* [`numpy.nan`](https://numpy.org/doc/stable/reference/constants.html#numpy.nan)
* [`pandas.NA`](https://pandas.pydata.org/docs/reference/api/pandas.NA.html#pandas.NA)
* `None`
* `float(""nan"")`

Let us consider this 3-batch of recommendations, assuming
we need to measure âTarget_1â, âTarget_2â and âTarget_3â:

```python
import numpy as np
import pandas as pd

rec = campaign.recommend(batch_size=3)
# Resetting the index to have easier access via .loc later
measurements = rec.reset_index(drop=True)

# Add measurement results
measurements.loc[0, ""Target_1""] = 10.3
measurements.loc[0, ""Target_2""] = 0.5
measurements.loc[0, ""Target_3""] = 11.1

measurements.loc[1, ""Target_1""] = 7.1
measurements.loc[1, ""Target_2""] = np.nan  # not measured yet
measurements.loc[1, ""Target_3""] = 12.2

measurements.loc[2, ""Target_1""] = 11.4
measurements.loc[2, ""Target_2""] = pd.NA  # not measured yet
measurements.loc[2, ""Target_3""] = None  # not measured yet

measurements

# Proceed with campaign.add_measurements ...
```

| Param_1   |   Param_2 | ...   |   Target_1 |   Target_2 |   Target_3 |
|-----------|-----------|-----|------------|------------|------------|
| on        |       1.1 | ...   |       10.3 |        0.5 |       11.1 |
| on        |       3.8 | ...   |        7.1 |      nan   |       12.2 |
| off       |       2.9 | ...   |       11.4 |      nan   |      nan   |

Internally, the incomplete rows are dropped when fitting a surrogate model for each
target. If you use an unsupported surrogate model, an error will be thrown at runtime.:class: important
The described method only works if the surrogate model uses a separate data basis
for each target. This is e.g. the case if you use the
[`CompositeSurrogate`](baybe.surrogates.composite.CompositeSurrogate)
to enable multi-output modeling required by the 
[`ParetoObjective`](baybe.objectives.pareto.ParetoObjective). For details, see 
[multi-output modeling](multi_output_modeling).

The [`DesirabilityObjective`](baybe.objectives.desirability.DesirabilityObjective) does 
not currently utilize multi-output models and hence does not support partial results.  ",why I can not add partical result to my experiment model?,"Adding Partial Results only works if the surrogate model uses a separate data basis
for each target. This is e.g. the case if you use the
[`CompositeSurrogate`](baybe.surrogates.composite.CompositeSurrogate)
to enable multi-output modeling required by the 
[`ParetoObjective`](baybe.objectives.pareto.ParetoObjective). For details, see 
[multi-output modeling](multi_output_modeling).

The [`DesirabilityObjective`](baybe.objectives.desirability.DesirabilityObjective) does 
not currently utilize multi-output models and hence does not support partial results.",What is indicated by setting a target measurement value to NaN in BayBE?,"It indicates that the measurement for that target has not been measured yet, allowing the use of partial results."
35,35,userguide_campaigns_chunks_chunk_10,1,"# Campaigns
## Predictive Statistics

You might be interested in statistics about the predicted target values for your
recommendations, or indeed for any set of possible candidate points. The
[`Campaign.posterior_stats`]() and
[`Surrogate.posterior_stats`]() methods
provide a simple interface for this:

```python
stats = campaign.posterior_stats(rec)
```

This will return a table with mean and standard deviation (and possibly other
statistics) of the target predictions for the provided candidates:

|    |   Yield_mean |   Yield_std |   Selectivity_mean |   Selectivity_std | ...   |
|----|--------------|-------------|--------------------|-------------------|-----|
| 15 |        83.54 |        5.23 |              91.22 |              7.42 | ...   |
| 18 |        56.12 |        2.34 |              87.32 |             12.38 | ...   |
|  9 |        59.1  |        5.34 |              83.72 |              9.62 | ...   |

You can also provide an optional sequence of statistic names to compute other
statistics. If a float is provided, the corresponding quantile points will be
calculated:

```python
stats = campaign.posterior_stats(rec, stats=[""mode"", 0.5])
```

|    |   Yield_mode |   Yield_Q_0.5 |   Selectivity_mode |   Selectivity_Q_0.5 | ...   |
|----|--------------|---------------|--------------------|---------------------|-----|
| 15 |        83.54 |         83.54 |              91.22 |               91.22 | ...   |
| 18 |        56.12 |         56.12 |              87.32 |               87.32 | ...   |
|  9 |        59.1  |         59.1  |              83.72 |               83.72 | ...   |",No,,What methods provide an interface for predicted target values in campaigns?,The `Campaign.posterior_stats` and `Surrogate.posterior_stats` methods.
36,36,userguide_campaigns_chunks_chunk_11,2,"# Campaigns
## Acquisition Function Values

In some cases, you may want to examine the specific acquisition function values for a given set of candidates. Campaigns provide two straightforward methods for this purpose:

- `acquisition_values()`: Computes **individual** acquisition values for each candidate in the set, answering the question  *âWhat is the expected utility of running this experiment in isolation?â*
- `joint_acquisition_value()`: Computes the **joint** acquisition value for the entire candidate batch, answering the question  *âWhat is the overall expected utility of running this batch of experimentsâ?*

```python
rec = campaign.recommend(5)
acq_values = campaign.acquisition_values(rec)  # contains 5 numbers
joint_acq_value = campaign.joint_acquisition_value(rec)  # contains 1 number
```

By default, both methods use the acquisition function of the underlying recommender. However, you can also specify a custom acquisition function if needed:

```python
from baybe.acquisition import UCB, qPSTD

acq_values = campaign.acquisition_values(rec, UCB())
joint_acq_value = campaign.joint_acquisition_value(rec, qPSTD())
```",How can I manually compute the value of my acquisition function?,,What method computes individual acquisition values for candidates in a campaign?,`acquisition_values()`
37,37,userguide_campaigns_chunks_chunk_12,5,"# Campaigns
## Serialization

Like other BayBE objects, [`Campaigns`]() can be (de-)serialized
using their [`from_json`]()/
[`to_json`]() methods, which
allow to convert between Python objects and their corresponding representation in JSON
format:

```python
campaign_json = campaign.to_json()
reconstructed = Campaign.from_json(campaign_json)
assert campaign == reconstructed
```

General information on this topic can be found in our
[serialization user guide](serialization.md).
For campaigns, however, this possibility is particularly noteworthy as it enables
one of the most common workflows in this context â
persisting the current state of a campaign for long-term storage and continuing the
experimentation at a later point in time:

1. Get your campaign object
   * When initiating the workflow, create a new campaign object
   * When coming from the last step below, **deserialize** the existing campaign object
2. Add the latest measurement results
3. Get a recommendation
4. **Serialize** the campaign and store it somewhere
5. Run your (potentially lengthy) real-world experiments
6. Repeat

## Further Information

Campaigns are created as a first step in most of our
[examples]().
For more details on how to define campaigns for a specific use case, we thus propose
to have a look at the most suitable example.",What would be the best practice to set up a long-term experiment with Baybe? ,,How can campaigns be serialized in BayBE?,Campaigns can be serialized using the `to_json()` method and deserialized using the `from_json()` method.
38,38,userguide_campaigns_chunks_chunk_3,8,"# Campaigns

When it comes to Bayesian optimization, campaigns emerge as an essential component.
They encompass a group of interconnected experiments that collectively aim to navigate
the search space and find an optimal solution. They take center stage in orchestrating
the iterative process of selecting, evaluating, and refining candidate solutions.
Thus, campaigns are an integral part of Bayesian optimization and, accordingly,
they also play a central role in BayBE.

The [`Campaign`]() class provides a structured framework for
defining and documenting an experimentation process.
It further serves as the primary interface for interacting with BayBE as a user
since it is responsible for handling experimental data, making recommendations, adding
measurements, and most other user-related tasks.

## Creating a Campaign
### Basic Creation

Creating a campaign requires specifying at least two pieces of information that
describe the underlying optimization problem at hand:

| Campaign Specification                     | BayBE Class                                              |
|--------------------------------------------|----------------------------------------------------------|
| What should be optimized in the campaign?  | `Objective` ([class]() / [user guide](objectives.md))    |
| Which experimental factors can be altered? | `SearchSpace` ([class]() / [user guide](searchspace.md)) |

Apart from this basic configuration, it is possible to further define the specific
optimization
`Recommender`Â ([class]()
/ [user guide](recommenders.md)) to be used.

```python
from baybe import Campaign

campaign = Campaign(
    searchspace=searchspace,  # Required
    objective=objective,  # Required
    recommender=recommender,  # Optional
)
```",,,What are the two required pieces of information needed to create a campaign in BayBE?,The objective and the search space.
39,39,userguide_campaigns_chunks_chunk_4,6,"# Campaigns
## Creating a Campaign
### Creation From a JSON Config

Instead of using the default constructor, it is also possible to create a `Campaign`
from a JSON configuration string via
[`Campaign.from_config`]().
Herein, the expected JSON schema of the string should mirror the class
hierarchy of the objects nested in the corresponding campaign object.
The string can be easily validated using
[Campaign.validate_config]() without
instantiating the object, which skips the potentially costly search space creation step.
For more details and a full exemplary config, we refer to the corresponding
[example]().",,,How can a Campaign be created from a JSON configuration string?,A Campaign can be created from a JSON configuration string using `Campaign.from_config()`.
40,40,userguide_campaigns_chunks_chunk_6,,"# Campaigns
## Getting Recommendations
### Basics

To obtain a recommendation for the next batch of experiments, we can query the
campaign via the [`recommend`]() method.
It expects a parameter `batch_size` that specifies the desired number of
experiments to be conducted.

```python
rec = campaign.recommend(batch_size=3)
```

Calling the function returns a `DataFrame` with `batch_size` many rows, each
representing a particular parameter configuration from the campaignâs search space.
Thus, the following might be a `DataFrame` returned by `recommend` in a search space
with the three parameters `Categorical_1`, `Categorical_2` and `Num_disc_1`:

|    | Categorical_1   | Categorical_2   |   Num_disc_1 |
|----|-----------------|-----------------|--------------|
| 15 | B               | good            |            1 |
| 18 | C               | bad             |            1 |
|  9 | B               | bad             |            1 |:class: important
In general, the parameter configurations in a recommended batch are **jointly**
optimized and therefore tailored to the specific batch size requested. 
This means that for two batches of different requested sizes, the smaller batch will not 
necessarily correspond to a subset of the configurations contained in the larger batch. 
An intuitive explanation for this phenomenon is that the more experiments one can 
afford to run, the less need there is to focus on ""safe bets"" and the more room
becomes available to test ""high-risk/high-gain"" configurations, since only one of the
tested configurations from the batch has to perform well.

**The bottom line is:** You should always ask for exactly as many
recommendations as you are willing to run parallel experiments in your next 
experimental iteration.
An approach where only a subset of experiments taken from a larger recommended batch is
used is strongly discouraged.

**Note:** While the above distinction is true in the general case, it may not be 
relevant for all configured settings, for instance, when the used recommender 
is not capable of joint optimization. Currently, the 
[BotorchRecommender](baybe.recommenders.pure.bayesian.botorch.BotorchRecommender)
is the only recommender available that performs joint optimization.:class: note
If you have a fixed experimental budget but the luxury of choosing 
whether to run your experiments sequentially or in parallel, sequential 
experimentation will give you the better overall results in expectation.
This is because in the sequential approach, each subsequent recommendation can 
leverage the additional data from previous iterations, which allows 
more accurate predictive models to be built. However, in real-world use cases, the 
question is typically answered by other factors, such as whether parallel
experimentation is feasible in the first place, or whether the given time budget 
even allows for sequential runs.",Can I just run part of the recommend batch but not harm my model? ,"This means that for two batches of different requested sizes, the smaller batch will not 
necessarily correspond to a subset of the configurations contained in the larger batch. 
An intuitive explanation for this phenomenon is that the more experiments one can 
afford to run, the less need there is to focus on ""safe bets"" and the more room
becomes available to test ""high-risk/high-gain"" configurations, since only one of the
tested configurations from the batch has to perform well.",What method is used to obtain a recommendation for the next batch of experiments in a campaign?,The `recommend` method.
41,41,userguide_campaigns_chunks_chunk_7,9,"# Campaigns
## Getting Recommendations
### Candidate Control in Discrete Spaces

For discrete search spaces, campaigns provide additional control over how the candidate
set of recommendable points is built based on the trajectory the campaign has taken so
far. This is done by setting the following Boolean flags:

- `allow_recommending_already_measured`:  Controls whether points that have already been
  measured can be recommended.
- `allow_recommending_already_recommended`: Controls whether previously recommended points can
  be recommended again.
- `allow_recommending_pending_experiments`: Controls whether points marked as
  `pending_experiments` can be recommended (see [asynchronous
  workflows](async.md#pending-experiments)). # Campaigns
## Getting Recommendations
### Caching of Recommendations

The `Campaign` object caches the last batch of recommendations returned, in order to
avoid unnecessary computations for subsequent queries between which the status
of the campaign has not changed.
The cache is invalidated as soon as new measurements are added or a different
batch size is desired.
The latter is necessary because each batch is optimized for the specific number of
experiments requested (see note above).",How do I specify that points can be recommended again (in subsequent experiments) when previous experiments are still pending?,,What does the `allow_recommending_already_measured` flag control in campaigns?,It controls whether points that have already been measured can be recommended.
42,42,userguide_campaigns_chunks_chunk_9,10,"# Campaigns
## Adding Measurements

Available experimental data can be added at any time during the campaign lifecycle using
the [`add_measurements`]() method,
which expects a `DataFrame` containing the values of the used experimental parameters
and all corresponding target measurements.
If measurements are to be added immediately after a call to `recommend`,
this is most easily achieved by augmenting the  `DataFrame` returned from that call
with the respective target columns.

```python
rec[""Target_max""] = [2, 4, 9]  # 3 values matching the batch_size of 3
campaign.add_measurements(rec)
new_rec = campaign.recommend(batch_size=5)
```

After adding the measurements, the corresponding `DataFrame` thus has the following
form:

|    | Categorical_1   | Categorical_2   |   Num_disc_1 |   Target_max |
|----|-----------------|-----------------|--------------|--------------|
| 15 | B               | good            |            1 |            2 |
| 18 | C               | bad             |            1 |            4 |
|  9 | B               | bad             |            1 |            9 |",Are there any restrictions on the parameter values that I can add via the `add_measurements` method?,"For discrete parameters, the parameter values associated with the provided measurements are required to fall into a predefined tolerance interval by default, which is defined on the level of the individual parameters",What method is used to add experimental data during a campaign lifecycle?,`add_measurements`
43,43,userguide_constraints_chunks_chunk_1,1,"# Constraints

Experimental campaigns often have naturally arising constraints on the parameters and
their combinations. Such constraints could for example be:

* When optimizing a mixture, the relative concentrations of the used ingredients must
  add up to 1.0.
* For chemical reactions, a reagent might be incompatible with high temperatures, hence
  these combinations must be excluded.
* Certain settings are dependent on other parameters, e.g. a set of parameters only
  becomes relevant if another parameter called `""Switch""` has the value `""on""`.

Similar to parameters, BayBE distinguishes two families of constraints, derived from the
abstract [`Constraint`]() class: discrete and
continuous constraints ([`DiscreteConstraint`](),
[`ContinuousConstraint`]()).
A constraint is called discrete/continuous if it operates on a set of exclusively
discrete/continuous parameters.       
 #### WARNING
:class: note
Currently, BayBE does not support hybrid constraints, that is, constraints which
operate on a mixed set of discrete and continuous parameters. If such a constraint is
necessary, it is possible to rephrase the parametrization so that the parameter set
is exclusively discrete or continuous in most cases.",How can I make sure that all my experimental constraints are reflected in the campaign set-up?�,"Similar to�parameters,�BayBE�distinguishes two families of constraints, derived from the abstract [`Constraint`]() class: discrete and
continuous constraints ([`DiscreteConstraint`](), [`ContinuousConstraint`]()).
A constraint is called discrete/continuous if it operates on a set of exclusively discrete/continuous parameters.",What must the relative concentrations of ingredients add up to when optimizing a mixture?,1
44,44,userguide_constraints_chunks_chunk_10,5,"# Constraints
## Discrete Constraints
### DiscreteSumConstraint and DiscreteProductConstraint

[`DiscreteSumConstraint`]()
and [`DiscreteProductConstraint`]()
impose conditions on sums or products of numerical parameters.
[In the first example from `ContinuousLinearConstraint`](#clc), we
had three continuous parameters `x_1`, `x_2` and `x_3`, which needed to sum
up to 1.0.
If these parameters were instead discrete, the corresponding constraint would look like:

```python
from baybe.constraints import DiscreteSumConstraint, ThresholdCondition

DiscreteSumConstraint(
    parameters=[""x_1"", ""x_2"", ""x_3""],
    condition=ThresholdCondition(  # set condition that should apply to the sum
        threshold=1.0,
        operator=""="",
        tolerance=0.001,  # optional; here, everything between 0.999 and 1.001 would also be considered valid
    ),
)
```

An end to end example can be found [here]().",How do I implement variable constraints that work for noisy data?,,What is the purpose of `DiscreteSumConstraint` in the provided context?,It imposes conditions on sums of discrete numerical parameters.
45,45,userguide_constraints_chunks_chunk_11,6,"# Constraints
## Discrete Constraints
### DiscreteNoLabelDuplicatesConstraint

Sometimes, duplicated labels in several parameters are undesirable.
Consider an example with two solvents that describe different mixture
components.
These might have the exact same or overlapping sets of possible values, e.g.
`[""Water"", ""THF"", ""Octanol""]`.
It would not necessarily be reasonable to allow values in which both solvents show the
same label/component.
We can exclude such occurrences with the
[`DiscreteNoLabelDuplicatesConstraint`]():

```python
from baybe.constraints import DiscreteNoLabelDuplicatesConstraint

DiscreteNoLabelDuplicatesConstraint(parameters=[""Solvent_1"", ""Solvent_2""])
```

Without this constraint, combinations like below would be possible:

|    | Solvent_1   | Solvent_2   | With DiscreteNoLabelDuplicatesConstraint   |
|----|-------------|-------------|--------------------------------------------|
|  1 | Water       | Water       | would be excluded                          |
|  2 | THF         | Water       |                                            |
|  3 | Octanol     | Octanol     | would be excluded                          |

The usage of `DiscreteNoLabelDuplicatesConstraint` is part of the
[example on slot-based mixtures]().",,,What is the purpose of the DiscreteNoLabelDuplicatesConstraint?,To exclude combinations of parameters where duplicated labels occur in multiple solvents.
46,46,userguide_constraints_chunks_chunk_12,9,"# Constraints
## Discrete Constraints
### DiscreteLinkedParametersConstraint

The [`DiscreteLinkedParametersConstraint`]()
is, in a sense, the opposite of the
[`DiscreteNoLabelDuplicatesConstraint`]().
It will ensure that **only** entries with duplicated labels are present.
This can be useful, for instance, in situations where we have one parameter but would
like to include it with several encodings:

```python
from baybe.parameters import SubstanceParameter
from baybe.constraints import DiscreteLinkedParametersConstraint

dict_solvents = {""Water"": ""O"", ""THF"": ""C1CCOC1"", ""Octanol"": ""CCCCCCCCO""}
solvent_encoding1 = SubstanceParameter(
    name=""Solvent_RDKIT_enc"",
    data=dict_solvents,
    encoding=""RDKIT"",
)
solvent_encoding2 = SubstanceParameter(
    name=""Solvent_MORDRED_enc"",
    data=dict_solvents,
    encoding=""MORDRED"",
)
DiscreteLinkedParametersConstraint(
    parameters=[""Solvent_RDKIT_enc"", ""Solvent_MORDRED_enc""]
)
```

|    | Solvent_RDKIT_enc   | Solvent_MORDRED_enc   | With DiscreteLinkedParametersConstraint   |
|----|---------------------|-----------------------|-------------------------------------------|
|  1 | Water               | Water                 |                                           |
|  2 | THF                 | Water                 | would be excluded                         |
|  3 | Octanol             | Octanol               |                                           |",How do I keep only parameters which have duplicate values across my dataset?,,What is the purpose of the DiscreteLinkedParametersConstraint?,It ensures that only entries with duplicated labels are present.
47,47,userguide_constraints_chunks_chunk_13,,"# Constraints
## Discrete Constraints
### DiscreteDependenciesConstraint

A dependency is a situation where parameters depend on other parameters.
Letâs say an experimental setup has a parameter called `""Switch""`, which turns on
pieces of equipment that are optional.
This means the other parameters (called `affected_parameters`) are only relevant if
the switch parameter has the value `""on""`. If the switch is `""off""`, the affected
parameters are irrelevant.

You can specify such a dependency with the
[`DiscreteDependenciesConstraint`]()
, which requires:

1. A list `parameters` with the names of the parameters upon which others depend.
2. A list `conditions`, specifying the values of the corresponding entries in
   `parameters` that âactivateâ the dependent parameters.
3. A list of lists, each containing the `affected_parameters`, which become relevant
   only if the corresponding entry in `parameters` is active as specified by the
   entry in `conditions`.

Internally, BayBE drops elements from the `SearchSpace` where affected parameters are
irrelevant. Since in our example `""off""` is still a valid value for the switch, the
`SearchSpace` will still retain **one** configuration for that setting, showing arbitrary
values for the `affected_parameters` (which can be ignored).

<a id=""ddc""></a>

#### IMPORTANT
BayBE requires that all dependencies are declared in a single
`DiscreteDependenciesConstraint`. Creating a `SearchSpace` from multiple
`DiscreteDependenciesConstraint`âs will throw a validation error.

In the example below, we mimic a situation where there are two switches and each switch
activates two other parameters that are only relevant if the first switch is `""on""` / the
second switch is set to `""right""`, respectively.

```python
from baybe.constraints import DiscreteDependenciesConstraint, SubSelectionCondition

DiscreteDependenciesConstraint(
    parameters=[""Switch_1"", ""Switch_2""],  # the two parameters upon which others depend
    conditions=[
        SubSelectionCondition(
            # values of Switch_1 that activate the affected parameters
            selection=[""on""]
        ),
        SubSelectionCondition(
            # values of Switch_2 that activate the affected parameters
            selection=[""right""]
        ),
    ],
    affected_parameters=[
        [""Solvent"", ""Fraction""],  # parameters affected by Switch_1
        [""Frame_1"", ""Frame_2""],  # parameters affected by Switch_2
    ],
)
```
","Can I create  a `SearchSpace` from multiple
`DiscreteDependenciesConstraint`? ","BayBE requires that all dependencies are declared in a single
`DiscreteDependenciesConstraint`. Creating a `SearchSpace` from multiple
`DiscreteDependenciesConstraint`'s will throw a validation error.",What is the purpose of the `DiscreteDependenciesConstraint` in BayBE?,It specifies dependencies where certain parameters become relevant only if specific conditions on other parameters are met.
48,48,userguide_constraints_chunks_chunk_14,,"# Constraints
## Discrete Constraints
### DiscretePermutationInvarianceConstraint

Permutation invariance, enabled by the
[`DiscretePermutationInvarianceConstraint`]()
, is a property where combinations of values of multiple
parameters do not depend on their order due to some symmetry in the experiment.
Suppose we create a mixture containing up to three solvents, i.e. parameters
âSolvent_1â, âSolvent_2â, âSolvent_3â.
In this situation, all combinations from the following table would be equivalent,
hence the `SearchSpace` should effectively only contain one of them.

|    | Solvent_1    | Solvent_2    | Solvent_3    |
|----|--------------|--------------|--------------|
|  1 | Substance_43 | Substance_3  | Substance_12 |
|  2 | Substance_43 | Substance_12 | Substance_3  |
|  3 | Substance_3  | Substance_12 | Substance_43 |
|  4 | Substance_3  | Substance_43 | Substance_12 |
|  5 | Substance_12 | Substance_43 | Substance_3  |
|  6 | Substance_12 | Substance_3  | Substance_43 |

#### NOTE
Complex properties such as permutation invariance not only affect the search space but
should ideally also constrain the surrogate model. For instance, the kernels in a
Gaussian process can be made permutation-invariant to reflect this constraint, which
generally results in a better learning curve. Note that at this stage no
surrogate model provided by BayBE takes care of these invariances. This means the
invariance is ignored during model fitting and these models do not benefit
from a priori known constraints and invariances between parameters. However, generally,
the optimization will still work. We are in the process of enabling this as new feature,
but in the meantime the user can introduce their own
[custom surrogate model]()
to include these.

Letâs add to the mixture example the fact that not only the choice of substance but also
their relative mixture fractions are parameters, i.e. âFraction_1â, âFraction_2â and
âFraction_3â.
This also implies that the solvent parameters depend on their corresponding
fraction being `> 0.0`, because in the case `== 0.0` the choice of solvent is
irrelevant. This models a scenario that allows âup to, but not necessarily,
three solventsâ.

#### IMPORTANT
If some of the `parameters` of the `DiscretePermutationInvarianceConstraint` are
dependent on other parameters, we require that the dependencies are provided as a
`DiscreteDependenciesConstraint` to the `dependencies` argument of the
`DiscretePermutationInvarianceConstraint`. This
`DiscreteDependenciesConstraint` will not count towards the maximum limit of one
`DiscreteDependenciesConstraint` discussed [here](#ddc).

The `DiscretePermutationInvarianceConstraint` below applies to our example and
removes permutation-invariant combinations of solvents that have additional
dependencies as well:

```python
from baybe.constraints import (
    DiscretePermutationInvarianceConstraint,
    DiscreteDependenciesConstraint,
    ThresholdCondition,
)

DiscretePermutationInvarianceConstraint(
    parameters=[""Solvent_1"", ""Solvent_2"", ""Solvent_3""],
    # `dependencies` is optional; it is only required if some of the permutation
    # invariant entries in `parameters` have dependencies on other parameters
    dependencies=DiscreteDependenciesConstraint(
        parameters=[""Fraction_1"", ""Fraction_2"", ""Fraction_3""],
        conditions=[
            ThresholdCondition(threshold=0.0, operator="">""),
            ThresholdCondition(threshold=0.0, operator="">""),
            ThresholdCondition(threshold=0.0, operator="">""),
        ],
        affected_parameters=[[""Solvent_1""], [""Solvent_2""], [""Solvent_3""]],
    ),
)
```
","I already have a DiscreteDependenciesConstraint in my model, can I use another DiscreteDependenciesConstraint inside  DiscretePermutationInvarianceConstraint? ","Yes. If some of the `parameters` of the `DiscretePermutationInvarianceConstraint` are
dependent on other parameters, we require that the dependencies are provided as a
`DiscreteDependenciesConstraint` to the `dependencies` argument of the
`DiscretePermutationInvarianceConstraint`. This
`DiscreteDependenciesConstraint` will not count towards the maximum limit of one
`DiscreteDependenciesConstraint.  The DiscretePermutationInvarianceConstraint below applies to our example and removes permutation-invariant combinations of solvents that have additional dependencies as well: from baybe.constraints import (
    DiscretePermutationInvarianceConstraint,
    DiscreteDependenciesConstraint,
    ThresholdCondition,
)

DiscretePermutationInvarianceConstraint(
    parameters=[""Solvent_1"", ""Solvent_2"", ""Solvent_3""],
    # `dependencies` is optional; it is only required if some of the permutation
    # invariant entries in `parameters` have dependencies on other parameters
    dependencies=DiscreteDependenciesConstraint(
        parameters=[""Fraction_1"", ""Fraction_2"", ""Fraction_3""],
        conditions=[
            ThresholdCondition(threshold=0.0, operator="">""),
            ThresholdCondition(threshold=0.0, operator="">""),
            ThresholdCondition(threshold=0.0, operator="">""),
        ],
        affected_parameters=[[""Solvent_1""], [""Solvent_2""], [""Solvent_3""]],
    ),
)",What is the purpose of the DiscretePermutationInvarianceConstraint in the context of solvents?,It removes permutation-invariant combinations of solvents that have additional dependencies.
49,49,userguide_constraints_chunks_chunk_15,10,"# Constraints
## Discrete Constraints
### DiscreteCardinalityConstraint

Like its [continuous cousin](), the
`DiscreteCardinalityConstraint` lets you control the
number of active parameters in your design. The construction works analogously:

```python
from baybe.constraints import DiscreteCardinalityConstraint

DiscreteCardinalityConstraint(
    parameters=[""Fraction_1"", ""Fraction_2"", ""Fraction_3""],
    min_cardinality=1,  # defaults to 0
    max_cardinality=2,  # defaults to the number of affected parameters (here: 3)
)
```",What are the keywords for setting the minimum and maximum cardinality when using the `DiscreteCardinalityConstraint`?,The keywords are `min_cardinality` and `max_cardinality`.,What does the DiscreteCardinalityConstraint control in a design?,The number of active parameters.
